"x","y"
6.98673470877111,13
5.56530505884439,3
1.40139957657084,0
2.85723306238651,0
5.55369009962305,24
0.251311503816396,2
4.66230554971844,8
8.61010685097426,41
2.52501178765669,7
5.80806337296963,10
0.0593325681984425,1
6.9186593987979,15
2.31125046964735,9
8.48532462259755,58
1.53835240751505,1
3.56809314806014,2
5.4520450416021,6
0.0119761377573013,1
3.17824489902705,10
0.172893537674099,0
3.41558025917038,4
3.43438799958676,1
2.32562693301588,3
0.613688277080655,0
4.12376251770183,5
1.85512177180499,1
4.10672063706443,4
1.40080855693668,2
0.0543451681733131,0
6.0173881566152,11
9.1101012728177,87
1.75362783949822,3
7.31187413213775,32
0.161572096403688,1
5.86115716258064,16
4.25818428397179,3
2.10490977624431,1
4.77200108347461,9
7.5482327491045,27
4.46829279884696,5
3.71201802045107,1
8.74778404599056,61
4.34597307350487,0
4.40136776538566,3
0.819568333681673,0
0.34619303420186,0
9.28651981754228,31
2.94566297205165,6
5.19224287476391,8
2.36396424937993,1
