"x","y"
6.98673470877111,9
5.56530505884439,10
1.40139957657084,5
2.85723306238651,2
5.55369009962305,8
0.251311503816396,1
4.66230554971844,10
8.61010685097426,10
2.52501178765669,5
5.80806337296963,10
0.0593325681984425,2
6.9186593987979,10
2.31125046964735,2
8.48532462259755,10
1.53835240751505,2
3.56809314806014,2
5.4520450416021,10
0.0119761377573013,0
3.17824489902705,4
0.172893537674099,7
3.41558025917038,8
3.43438799958676,4
2.32562693301588,8
0.613688277080655,7
4.12376251770183,9
1.85512177180499,1
4.10672063706443,9
1.40080855693668,5
0.0543451681733131,0
6.0173881566152,10
9.1101012728177,10
1.75362783949822,8
7.31187413213775,6
0.161572096403688,0
5.86115716258064,10
4.25818428397179,0
2.10490977624431,3
4.77200108347461,10
7.5482327491045,10
4.46829279884696,9
3.71201802045107,10
8.74778404599056,10
4.34597307350487,10
4.40136776538566,10
0.819568333681673,9
0.34619303420186,0
9.28651981754228,10
2.94566297205165,9
5.19224287476391,10
2.36396424937993,1
