"x","y"
6.98673470877111,8
5.56530505884439,9
1.40139957657084,3
2.85723306238651,5
5.55369009962305,9
0.251311503816396,5
4.66230554971844,8
8.61010685097426,10
2.52501178765669,4
5.80806337296963,10
0.0593325681984425,3
6.9186593987979,9
2.31125046964735,6
8.48532462259755,10
1.53835240751505,6
3.56809314806014,10
5.4520450416021,9
0.0119761377573013,4
3.17824489902705,7
0.172893537674099,5
3.41558025917038,6
3.43438799958676,8
2.32562693301588,6
0.613688277080655,6
4.12376251770183,9
1.85512177180499,6
4.10672063706443,8
1.40080855693668,5
0.0543451681733131,3
6.0173881566152,8
9.1101012728177,10
1.75362783949822,3
7.31187413213775,9
0.161572096403688,7
5.86115716258064,10
4.25818428397179,6
2.10490977624431,6
4.77200108347461,7
7.5482327491045,10
4.46829279884696,9
3.71201802045107,6
8.74778404599056,10
4.34597307350487,8
4.40136776538566,9
0.819568333681673,4
0.34619303420186,4
9.28651981754228,10
2.94566297205165,8
5.19224287476391,9
2.36396424937993,7
